id;id_f;nom;type
1;Industrial;connect Markets Chief;NUMBER
2;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;MULTIPLE_VALUE
3;bifurcated scalable;Small;TEXT
4;overriding;monitor 1080p Checking Account;RESSOURCE
5;Highway Ergonomic;moratorium moratorium;RESSOURCE
6;Frozen bus;hard drive Robust Networked;MULTIPLE_VALUE
7;Small partnerships;Outdoors;VALUES_LIST
8;Corporate Phased relationships;white Brand Money Market Account;RESSOURCE
9;Refined Squares;maroon;RESSOURCE
10;support Gorgeous;withdrawal;NUMBER
