id;id_f;name;description;rank;is_integration_step
1;input Accounts;enhance Multi-channelled purple;Response;60617;false
2;SMTP;Checking Account global Steel;Borders Springs connecting;30777;true
3;Vietnam California PNG;Connecticut Burg;transmit Credit Card Account;70407;true
4;Corporate;Industrial seamless;withdrawal Jamaica;9100;true
5;real-time Berkshire solid state;middleware Switzerland;Data Granite Configuration;49211;true
6;Practical Steel Chips;Berkshire concept;Illinois robust;53726;false
7;Rubber Shirt;Pakistan Rupee;Chicken;34566;false
8;RSS Buckinghamshire Officer;teal Licensed Wooden Pants;e-business;3180;false
9;Granite Island;Regional;Bedfordshire;69039;false
10;Licensed;Credit Card Account Sleek;Sausages streamline Home;86830;true
